Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:150,Data class,Data type,Answers
5429e023-2116-4c14-93a7-ce07347adb6f,,Once daily,Once daily,,,,,frequency,N/A,
82b3c4d3-86a7-4d61-8d9b-ae2e903c5195,,Every two hours,Every two hours,,,,,frequency,N/A,
3b8599c0-792d-45f3-9377-538c2cd22be8,,Twice daily,Twice daily,,,,,frequency,N/A,
a6714c80-89ba-45a6-af36-4e358e1c8671,,Thrice daily,Thrice daily,,,,,frequency,N/A,
b659d44f-6016-473a-958b-36bdffc98394,,Every six hours,Every six hours,,,,,frequency,N/A,
d76cd44b-bfe9-441e-9466-71698e9f9c28,,Every four hours,Every four hours,,,,,frequency,N/A,
30669d0a-83a8-4f07-8a27-c8d898e877a3,,Every three hours,Every three hours,,,,,frequency,N/A,
9df5bb5c-0a0d-4925-8d44-56a78ab36a9f,,Every twelve hours,Every twelve hours,,,,,frequency,N/A,
431bc7aa-ba9a-4d6d-9a08-43651a83b8e2,,Every hour,Every hour,,,,,frequency,N/A,
