Uuid,Name,Price,Payment Mode,Stock Item,Billable Service
729d6a20-2ae4-40f6-8a66-4b36ac858f63,Cash,1800.00,526bf278-ba81-4436-b867-c2f6641d060a,,278a281b-bfc9-434c-bf4f-8384339eee74
668cf487-c962-4b0b-97de-b672ef41a9d8,Cash,50.00,526bf278-ba81-4436-b867-c2f6641d060a,,254ea681-8b38-4666-b23b-3577b829cde2
c10da019-23f7-4964-ae98-63b46ce4d4de,Cash,200.00,526bf278-ba81-4436-b867-c2f6641d060a,,3ef278be-3798-47c0-8ff6-07511e6e4d5f
833b102c-a69c-460e-bf7c-09782396cd8b,Cash,100.00,526bf278-ba81-4436-b867-c2f6641d060a,,adbb9282-f157-47ed-aeb2-1969320261e0
d945c38a-649f-41a3-a408-2c5e3d6b04e4,Cash,10.00 per tab,526bf278-ba81-4436-b867-c2f6641d060a,,3109c4ce-0e81-4201-b8d8-a3d8e1b9e330
944b48e6-2747-4855-b20e-4bfc3f054e67,Cash,100.00,526bf278-ba81-4436-b867-c2f6641d060a,,b31a9765-6865-4566-a72c-b2344d9d54da
cec1c93c-89c4-48f8-9c5c-f038f1284f33,Cash,20 per tab,526bf278-ba81-4436-b867-c2f6641d060a,,cbfec3a8-5332-47d1-99d8-08ab2d11126c
cf31464f-dd71-4b63-b7f0-38f59f1ae11f,Cash,50 per tab,526bf278-ba81-4436-b867-c2f6641d060a,,ef9934ae-b58d-46bb-a91e-bc792e18535f
ce6d60fd-7304-42cf-94bb-50cd943c63e0,Cash,100.00,526bf278-ba81-4436-b867-c2f6641d060a,,7b15734d-c8a9-4490-be39-2132059388a5
86593d52-6033-44d3-9746-7d4bf4951773,Cash,80.00 per tabs,526bf278-ba81-4436-b867-c2f6641d060a,,44944037-24ba-4087-be2a-ca8aea52003a
defce178-776c-4d2d-8f62-b9e568912009,Cash,30 per tab,526bf278-ba81-4436-b867-c2f6641d060a,,ecaf868a-e634-4e8f-8aaa-c8c41ccb095f
cb42adc6-c7c5-4dd0-ab95-d9160f4646a0,Cash,100.00,526bf278-ba81-4436-b867-c2f6641d060a,,d06c08be-9b3c-4c68-9143-7ae910a9139b
fe510751-8fdb-4fd9-9afa-cc23e6928931,Cash,800.00,526bf278-ba81-4436-b867-c2f6641d060a,,586e1df2-c2fd-4594-8783-0bde7e57ad36
be1c2f81-2726-4c28-b662-ea3b86c16808,Cash,0.00,526bf278-ba81-4436-b867-c2f6641d060a,,7dc576e6-15cb-4485-b894-5eb6be11ada7
5c00fa7c-dd66-41b4-ab57-2e9e13596221,Cash,50 per tab,526bf278-ba81-4436-b867-c2f6641d060a,,a14d4af9-5aef-4e7d-9453-6757e9fef6b9
ccf18a1a-63c5-4f98-84e1-32ceb42f88e9,Cash,400.00,526bf278-ba81-4436-b867-c2f6641d060a,,4e96e2ac-6377-4be0-b2f7-91edbd9a2d55
93cbe3e4-a4c8-442a-b1f1-a6898cacff59,Cash,700.00 10 tabs,526bf278-ba81-4436-b867-c2f6641d060a,,3c28f63d-11d7-4d70-8396-8da4196abe7c
da840a8c-6403-432a-8037-47d2948bc4c7,Cash,50.00,526bf278-ba81-4436-b867-c2f6641d060a,,722a5896-b3d6-456f-99d5-81c89251a708
